0,0,0,0,0,-12,1
94,322,107,330,42,-12,0.1
87,322,107,332,38,-13,0.1
80,322,107,332,35,-13,0.1
73,320,107,332,31,-12,0.1
66,318,107,334,28,-12,0.1
59,316,107,334,24,-11,0.1
52,314,107,336,21,-11,0.1
45,312,107,336,17,-10,0.1
38,311,107,336,14,-10,0.1
31,308,107,336,10,-8,0.1
24,304,107,336,7,-6,0.1
17,295,107,336,3,-2,0.1
10,295,107,336,0,0,0.1
109,302,204,334,1,-4,0.1
10,295,107,336,0,0,0.1
109,302,204,334,1,-4,0.1
10,295,107,336,0,0,0.1
109,302,204,334,1,-4,0.1
10,295,107,336,0,0,0.1
109,302,204,334,1,-4,0.1
